MEANING	RULE	Ainu	Alaskan Yupik	Arabic	Balinese	Bezhta	Bora	Chintang	Emai	Even	Hoocąk	Icelandic	Italian	Jakarta Indonesian	Jaminjung	Japanese standard	Mandarin	Mandinka	Mapudungun	Nen	Nǀuu	Russian	Sliammon	Sri Lanka Malay	Xârâcùù	Yaqui	Yoruba	Zenzontepec Chatino
APPEAR	appearer	subj.V	NA	V.subj NP-nom	NA	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NA	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	NA	NA	V.sbj	NA	Ø	Ø	Ø	NA
ASK FOR	askee	obj.V	NA	NP-acc	NA	NA	NP-acc	NA	NA	NP-acc	NA	NP-acc	a+NP	Ø	NA	NA	NA	Ø	NA	NA	ng+NP	NA	V.obj	NP-loc	xù+NP	NP-dir	NA	NA
ASK FOR	asker	subj.V	NA	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	NA	NA	Ø	NA	V.sbj	Ø	Ø	Ø	NA	NA
ASK FOR	requested thing	NA	NA	NP-acc	Ø	NA	NP-acc	NA	NA	NP-all	und.V	um+NP-acc	Ø	Ø	NP-dat	NA	NA	NP+la	NA	NA	Ø	NA	NA	NP-acc	Ø	NP-acc	NA	NA
BE A HUNTER	hunter	subj.V	NA	NA	Ø	NA	NA	NA	NA	NP-nom V.subj	NA	NA	V.subj	Ø	NP-abs	NA	NA	NA	V.subj	NA	Ø	NA	NA	Ø	Ø	Ø	NA	NA
BE DRY	dry thing	subj.V	NP-abs V.subj	NA	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	und.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & obj.V	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
BE HUNGRY	hungry person	subj.V	NP-abs V.subj	NA	Ø	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	und.V	NP-acc	V.subj	Ø	NA	NA	NA	Ø	V.subj	NP-abs & obj.V	Ø	NA	V.sbj	NP-dat	NA	Ø	Ø	NA
BE ILL	sick person	subj.V	NA	NA	NA	NP-abs & absAgr.V	NA	NA	NA	NA	act.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & obj.V	Ø	NA	V.sbj	NP-dat	Ø	Ø	Ø	NA
BE SAD	sad person	subj.V	NA	NA	Ø	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & obj.V	NA	NA	V.sbj	NP-dat	Ø	Ø	Ø	NA
BEAT	beatee	obj.V	NP-abs V.obj	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	und.V	NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	V.obj	NP-abs & obj.V	Ø	NA	V.obj	NP-dat	Ø	NP-acc	Ø	jiʔį̀+NP
BEAT	beater	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	Ø
BEAT	beating instrument	instr	NP-perl	bi+NP-gen	aji+NP	NA	NP-instr	NA	NA	NP-instr	unmarked NP	með+NP-dat	con+NP	NA	NP-erg/instr	NA	NA	NP+la	NP+mew	NP-abl	NA	NA	NA	NA	ngê+NP	NP-instr	NA	jiʔį̀+NP
BLINK	blinker	subj.V	NP-rel V.subj	V.subj NP-nom	NA	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	NA	NP-abs subj.V	NA	NA	NA	V.subj	NA	NA	NP-nom & V.subj	V.sbj	NA	Ø	NA	Ø	Ø
BOIL	boiled thing	NA	NP-abs V.subj	V.subj NP-nom	NA	NA	Ø (NP-nom)	NA	NA	NA	und.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	Ø	NA	V.sbj	NP-acc	Ø	Ø	Ø	NA
BREAK	breaker	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
BREAK	breaking instrument	instr	NP-perl	bi+NP-gen	aji+NP	NA	NP-instr	NA	NA	NP-instr	NA	með+NP-dat	con+NP	NA	NP-erg/instr	NA	NA	NP+la	NP+mew	NA	nla+NP	NA	NA	NA	ngê+NP	NA	NA	NA
BREAK	broken thing	obj.V	NP-abs V.obj	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	und.V	NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	V.obj	NP-abs & obj.V	Ø	NA	V.obj	NA	Ø	NP-acc	Ø	NA
